Data run ended at:  Tuesday, November 30, 2021	9:28:38 PM
Total number of sweeps:  477	live time (sec):  8.586000	real time (sec):  10.033000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	1.600000E+1
4.000000E-5	9.000000E+0
6.000000E-5	2.000000E+1
8.000000E-5	1.100000E+1
1.000000E-4	1.800000E+1
1.200000E-4	1.200000E+1
1.400000E-4	2.100000E+1
1.600000E-4	1.000000E+1
1.800000E-4	1.400000E+1
2.000000E-4	1.200000E+1
2.200000E-4	1.100000E+1
2.400000E-4	1.600000E+1
2.600000E-4	1.000000E+1
2.800000E-4	1.300000E+1
3.000000E-4	1.600000E+1
3.200000E-4	1.300000E+1
3.400000E-4	1.400000E+1
3.600000E-4	2.100000E+1
3.800000E-4	1.000000E+1
4.000000E-4	1.800000E+1
4.200000E-4	1.600000E+1
4.400000E-4	1.700000E+1
4.600000E-4	8.000000E+0
4.800000E-4	1.600000E+1
5.000000E-4	9.000000E+0
5.200000E-4	5.000000E+0
5.400000E-4	1.300000E+1
5.600000E-4	1.700000E+1
5.800000E-4	9.000000E+0
6.000000E-4	1.000000E+1
6.200000E-4	2.000000E+1
6.400000E-4	1.800000E+1
6.600000E-4	1.200000E+1
6.800000E-4	1.100000E+1
7.000000E-4	8.000000E+0
7.200000E-4	1.700000E+1
7.400000E-4	1.200000E+1
7.600000E-4	1.600000E+1
7.800000E-4	1.500000E+1
8.000000E-4	1.800000E+1
8.200000E-4	6.000000E+0
8.400000E-4	1.500000E+1
8.600000E-4	1.300000E+1
8.800000E-4	1.800000E+1
9.000000E-4	1.300000E+1
9.200000E-4	1.300000E+1
9.400000E-4	1.600000E+1
9.600000E-4	1.900000E+1
9.800000E-4	7.000000E+0
1.000000E-3	1.300000E+1
1.020000E-3	1.800000E+1
1.040000E-3	1.400000E+1
1.060000E-3	9.000000E+0
1.080000E-3	1.000000E+1
1.100000E-3	1.400000E+1
1.120000E-3	1.000000E+1
1.140000E-3	1.100000E+1
1.160000E-3	2.000000E+1
1.180000E-3	1.200000E+1
1.200000E-3	9.000000E+0
1.220000E-3	1.000000E+1
1.240000E-3	1.800000E+1
1.260000E-3	6.000000E+0
